Unnamed: 0,Job Id,Salary Range (K),Min Salary (K),Max Salary (K),Work Type,Job Posting Date,Predicted Industry,Job Title,Job Description,skills,Company,Broader Category,Average Salary (K),Year-Quarter,Job Minimum Experience,Job Maximum Experience,Job URL
278.0,188218000000000.0,34.0,65.0,99.0,Part-Time,2023-12-06,18.0,Customer Support Specialist,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty.","['Customer relationship management', 'Onboarding and training', 'Customer feedback analysis', 'Retention strategies', 'Cross', 'Strong communication and empathy', 'Customer advocacy']",CRH (China Resources Holdings),Business,82.0,2023Q4,3.0,9.0,
979.0,1969594223159390.0,32.0,60.0,92.0,Full-Time,2021-12-10,20.0,Event Planner,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.","['Event planning', 'Vendor coordination', 'Budget management', 'Marketing and promotion', 'Logistics']",McKesson,Business,76.0,2021Q4,2.0,9.0,
1763.0,1646505725000403.0,41.0,59.0,100.0,Temporary,2022-08-29,26.0,Operations Manager,"Quality Control Managers establish and enforce quality standards within an organization. They develop quality control processes, perform inspections, and implement corrective actions to maintain product or service quality.","['Quality control processes and methodologies', 'Statistical process control', 'SPC', 'Root cause analysis and corrective action', 'Quality management systems', 'O 9001', 'Compliance and regulatory knowledge']",Havells India,Business,79.5,2022Q3,4.0,15.0,
1782.0,2221574783056528.8,65.0,65.0,130.0,Full-Time,2022-01-03,0.0,HR Manager,"A Human Resources Director leads HR functions, including talent acquisition, employee development, and HR strategy, to promote a positive work environment and support organizational goals.","['Strategic', 'R planning', 'Employee relations', 'Talent management', 'R policy development', 'Leadership skills']",ProSiebenSat.1 Media SE,Business,97.5,2022Q1,1.0,14.0,
3138.0,2204799087596040.8,37.0,57.0,94.0,Contract,2021-10-22,13.0,Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","['Market research methodologies', 'Data collection and analysis', 'Consumer behavior analysis', 'Competitor analysis', 'Survey design and analysis', 'Statistical analysis software', 'SPSS', 'SAS', 'Data visualization', 'Trend analysis', 'Report writing', 'Communication skills', 'Attention to detail']",William Hill plc,Business,75.5,2021Q4,2.0,12.0,
3863.0,1421290518390531.0,37.0,55.0,92.0,Intern,2023-09-08,0.0,HR Coordinator,"Benefits Coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. They assist employees with benefit inquiries and ensure compliance with benefit policies.","['Employee benefits administration', 'Benefits compliance', 'Benefits communication']",New York Life Insurance,Business,73.5,2023Q3,3.0,8.0,
4730.0,1474786903638944.0,44.0,62.0,106.0,Intern,2023-05-18,13.0,Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","['Data analysis tools', 'SQL', 'Python', 'Data visualization tools', 'Tableau', 'Power', 'Statistical analysis', 'Data cleansing and transformation', 'Data modeling', 'Communication of data insights', 'Problem', 'Attention to detail', 'Business acumen']",Intertek Group,Business,84.0,2023Q2,5.0,14.0,
5345.0,664333000000000.0,29.0,65.0,94.0,Contract,2022-05-16,20.0,Event Coordinator,"Plan and coordinate events, including selecting venues, managing budgets, arranging logistics, and ensuring a successful outcome.","['Event planning and coordination', 'Budget management', 'Vendor negotiation', 'Venue selection and management', 'Timeline and logistics planning', 'Marketing and promotion', 'Risk management', 'Client communication', 'Creativity', 'Problem', 'Attention to detail']",Vonovia SE,Business,79.5,2022Q2,2.0,15.0,
5765.0,2165219500091970.0,59.0,57.0,116.0,Part-Time,2023-11-01,7.0,Digital Marketing Specialist,"Email Marketing Specialists design and execute email marketing campaigns. They create email content, segment email lists, and analyze campaign performance to achieve marketing goals and engage subscribers.","['Email marketing platforms', 'Mailchimp', 'Constant', 'Contact', 'Email campaign creation and segmentation', 'B testing and optimization', 'Email deliverability and compliance', 'Metrics tracking and analysis']",American Electric Power,Business,86.5,2023Q4,0.0,13.0,
6388.0,723564000000000.0,65.0,64.0,129.0,Contract,2023-01-30,26.0,Operations Manager,"Quality Control Managers establish and enforce quality standards within an organization. They develop quality control processes, perform inspections, and implement corrective actions to maintain product or service quality.","['Quality control processes and methodologies', 'Statistical process control', 'SPC', 'Root cause analysis and corrective action', 'Quality management systems', 'O 9001', 'Compliance and regulatory knowledge']",Infineon Technologies AG,Business,96.5,2023Q1,2.0,12.0,
