Unnamed: 0,Job Id,Salary Range (K),Min Salary (K),Max Salary (K),Work Type,Job Posting Date,Predicted Industry,Job Title,Job Description,skills,Company,Broader Category,Average Salary (K),Year-Quarter,Job Minimum Experience,Job Maximum Experience,Job URL
197.0,2427096294014030.0,48.0,61.0,109.0,Temporary,2022-11-30,4.0,Architect,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.","['Architectural project management', 'Construction documents', 'Building systems', 'Design coordination', 'Client communication']",AES,Engineering,85.0,2022Q4,1.0,10.0,
3717.0,2824760116471388.0,67.0,59.0,126.0,Contract,2022-01-03,4.0,Architect,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.","['Architectural project management', 'Construction documents', 'Building systems', 'Design coordination', 'Client communication']",Deutsche Post DHL Group,Engineering,92.5,2022Q1,5.0,11.0,
7518.0,2711497750690101.0,27.0,59.0,86.0,Intern,2023-06-07,4.0,Landscape Architect,Create aesthetically pleasing and functional landscape designs for residential properties.,"['Landscape design', 'Plant selection and care', 'Hardscape design']",Agricultural Bank of China,Engineering,72.5,2023Q2,0.0,12.0,
8820.0,1735951039749399.0,17.0,64.0,81.0,Temporary,2023-02-19,4.0,Structural Engineer,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.","['Bridge design', 'Civil engineering', 'Structural analysis', 'Auto', 'D proficiency', 'Project management']",Pfizer,Engineering,72.5,2023Q1,2.0,14.0,
8902.0,2485947538567954.0,31.0,63.0,94.0,Full-Time,2023-05-06,4.0,Environmental Consultant,"Environmental Impact Analysts assess the environmental consequences of projects or activities. They conduct studies, analyze data, and provide recommendations to minimize adverse environmental effects and promote sustainable practices.","['Environmental impact analysis', 'Data collection and analysis', 'Environmental regulations', 'Reporting', 'Geographic', 'Information', 'Systems', 'Technical writing']",Netflix,Engineering,78.5,2023Q2,5.0,10.0,
9781.0,3085080840804681.0,69.0,61.0,130.0,Temporary,2022-12-29,4.0,Technical Writer,Instructional Designers develop educational materials and curricula. They design engaging and effective learning experiences for students or employees.,"['Instructional design e', 'Learning tools', 'Curriculum development', 'Multimedia design', 'Learning theory knowledge']",C.H. Robinson Worldwide,Engineering,95.5,2022Q4,4.0,14.0,
20212.0,698830000000000.0,65.0,57.0,122.0,Contract,2023-04-24,4.0,Architect,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.","['Sustainable design principles', 'Energy efficiency', 'D certification', 'Green building materials', 'Environmental impact assessment']",Oneok,Engineering,89.5,2023Q2,1.0,9.0,
20563.0,3077836170510014.0,41.0,65.0,106.0,Temporary,2021-11-10,4.0,Urban Planner,"City Planners develop and implement urban planning strategies. They work to improve communities, manage resources, and address issues related to land use and infrastructure.","['Urban planning', 'Zoning regulations', 'Environmental planning', 'S proficiency', 'Community engagement']",Grafton Group,Engineering,85.5,2021Q4,5.0,10.0,
20767.0,1846832261560796.8,37.0,56.0,93.0,Contract,2023-08-23,4.0,QA Engineer,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.","['Quality assurance', 'Process improvement', 'Team leadership', 'Problem', 'Quality control']",Bank of China,Engineering,74.5,2023Q3,2.0,14.0,
25186.0,347879000000000.0,37.0,62.0,99.0,Contract,2022-05-11,4.0,Mechanical Designer,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,"['Computer', 'CAD', 'Technical drawing', 'Blueprint interpretation', 'Drafting standards', 'Engineering principles', 'Collaboration with engineers', 'Problem', 'Attention to detail', 'Communication skills 3', 'D modeling']",Goodyear Tire & Rubber,Engineering,80.5,2022Q2,5.0,9.0,
25201.0,1877369252855804.0,63.0,65.0,128.0,Part-Time,2021-10-10,4.0,Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.","['Manufacturing processes knowledge', 'M software proficiency', 'Lean manufacturing principles', 'Quality control and assurance', 'Six', 'Sigma certification']",Raymond James Financial,Engineering,96.5,2021Q4,4.0,12.0,
25795.0,2182696466405018.0,46.0,64.0,110.0,Temporary,2022-12-11,29.0,Chemical Engineer,"Conduct research, design experiments, and develop innovative products or technologies in various industries.","['Research and development processes', 'Product innovation', 'Prototype development', 'Testing and experimentation', 'Data analysis', 'Collaboration with cross', 'Problem', 'Attention to detail', 'Technical expertise', 'Project management skills']",State Farm Insurance,Engineering,87.0,2022Q4,0.0,9.0,
27321.0,857576000000000.0,52.0,60.0,112.0,Intern,2022-08-03,4.0,Environmental Consultant,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies.","['Sustainability consulting', 'Sustainability assessments', 'Sustainable practices', 'Green building standards', 'Environmental policies', 'Client communication']",C.H. Robinson Worldwide,Engineering,86.0,2022Q3,4.0,10.0,
27357.0,1528289684757006.0,63.0,62.0,125.0,Intern,2023-01-23,4.0,Electrical Designer,"PCB Designers specialize in designing printed circuit boards (PCBs). They create PCB layouts, ensure proper connectivity, and consider electrical and mechanical requirements.","['B design', 'Electronics', 'B layout software proficiency', 'Circuit design', 'Quality control']",NCR,Engineering,93.5,2023Q1,3.0,10.0,
