Unnamed: 0,Job Id,Salary Range (K),Min Salary (K),Max Salary (K),Work Type,Job Posting Date,Job Title,Job Description,skills,Company,Broader Category,Average Salary (K),Year-Quarter,Job Minimum Experience,Job Maximum Experience,Job URL,Job Salary Range
197.0,2427096294014030.0,48.0,61.0,109.0,Temporary,2022-11-30,Architect,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.","['Architectural project management', 'Construction documents', 'Building systems', 'Design coordination', 'Client communication']",AES,Engineering,85.0,2022Q4,1.0,10.0,,
278.0,188218000000000.0,34.0,65.0,99.0,Part-Time,2023-12-06,Customer Support Specialist,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty.","['Customer relationship management', 'Onboarding and training', 'Customer feedback analysis', 'Retention strategies', 'Cross', 'Strong communication and empathy', 'Customer advocacy']",CRH (China Resources Holdings),Business,82.0,2023Q4,3.0,9.0,,
979.0,1969594223159390.0,32.0,60.0,92.0,Full-Time,2021-12-10,Event Planner,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.","['Event planning', 'Vendor coordination', 'Budget management', 'Marketing and promotion', 'Logistics']",McKesson,Business,76.0,2021Q4,2.0,9.0,,
1013.0,758386000000000.0,42.0,62.0,104.0,Full-Time,2022-01-25,Software Engineer,"DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).","['Automation and scripting', 'Python', 'Bash', 'Continuous', 'Integration', 'Continuous', 'Deployment', 'CI', 'CD', 'Containerization', 'Docker', 'Kubernetes', 'Infrastructure as', 'Code', 'Terraform', 'Ansible', 'Cloud platforms', 'AWS', 'Azure', 'GCP', 'Monitoring and troubleshooting skills']",Iluka Resources,Information Technology,83.0,2022Q1,4.0,13.0,,
1060.0,659329000000000.0,36.0,55.0,91.0,Contract,2023-11-06,Data Engineer,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.","['Big data technologies', 'Hadoop', 'Spark', 'Data processing and analysis', 'Distributed computing']",Salesforce,Information Technology,73.0,2023Q4,2.0,13.0,,
1578.0,1673964364335675.0,54.0,61.0,115.0,Full-Time,2023-01-23,Veterinarian,"A Small Animal Veterinarian provides medical care to small pets, such as dogs and cats. They diagnose illnesses, perform surgeries, and advise pet owners on healthcare practices.","['Veterinary medicine', 'Small animal care and surgery', 'Animal diagnostics', 'Preventive medicine', 'Client communication', 'Surgical skills', 'Radiology', 'Anesthesia', 'Laboratory diagnostics', 'Compassion and empathy', 'Problem', 'Attention to detail']",China Telecom,Healthcare,88.0,2023Q1,1.0,13.0,,
1694.0,1761971263951652.0,53.0,58.0,111.0,Full-Time,2021-11-29,Nurse Practitioner,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.","['Family medicine', 'Health assessment', 'Pediatric care', 'Chronic disease management', 'Patient education']",United Technologies Corporation,Healthcare,84.5,2021Q4,2.0,12.0,,
1697.0,2985478544376208.0,54.0,60.0,114.0,Contract,2022-11-13,Litigation Attorney,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.","['Family law', 'Divorce proceedings', 'Child custody', 'Mediation', 'Legal counseling', 'Court representation']",Watsco,Legal Services,87.0,2022Q4,0.0,15.0,,
1763.0,1646505725000403.0,41.0,59.0,100.0,Temporary,2022-08-29,Operations Manager,"Quality Control Managers establish and enforce quality standards within an organization. They develop quality control processes, perform inspections, and implement corrective actions to maintain product or service quality.","['Quality control processes and methodologies', 'Statistical process control', 'SPC', 'Root cause analysis and corrective action', 'Quality management systems', 'O 9001', 'Compliance and regulatory knowledge']",Havells India,Business,79.5,2022Q3,4.0,15.0,,
1764.0,1637213882910014.0,45.0,62.0,107.0,Temporary,2023-09-09,Family Nurse Practitioner,Geriatric Nurse Practitioners focus on the healthcare needs of elderly patients. They provide specialized care and address age-related health concerns.,"['Geriatric healthcare', 'Geriatric assessment', 'Geriatric treatment', 'Elderly patient care', 'Geriatric pharmacology']",PNC Financial Services Group,Healthcare,84.5,2023Q3,1.0,12.0,,
1782.0,2221574783056528.8,65.0,65.0,130.0,Full-Time,2022-01-03,HR Manager,"A Human Resources Director leads HR functions, including talent acquisition, employee development, and HR strategy, to promote a positive work environment and support organizational goals.","['Strategic', 'R planning', 'Employee relations', 'Talent management', 'R policy development', 'Leadership skills']",ProSiebenSat.1 Media SE,Business,97.5,2022Q1,1.0,14.0,,
1877.0,1402971789346227.0,58.0,57.0,115.0,Full-Time,2023-07-22,SEO Specialist,"Content SEO Strategists create SEO strategies specifically for content, focusing on keyword integration, content quality, and user engagement to boost organic traffic.","['Content strategy', 'O content optimization', 'Content marketing', 'Keyword mapping', 'Analytics']",PulteGroup,Information Technology,86.0,2023Q3,1.0,10.0,,
1926.0,2084447135647748.0,62.0,59.0,121.0,Intern,2022-03-26,Substance Abuse Counselor,"A Recovery Coach offers guidance and support to individuals in addiction recovery, aiding in their journey toward sobriety and helping them build a stable and fulfilling life.","['Addiction recovery support', 'Motivational interviewing', 'Relapse prevention strategies']",EOG Resources,Healthcare,90.0,2022Q1,2.0,10.0,,
2055.0,2956548998254365.0,27.0,58.0,85.0,Intern,2023-04-02,QA Analyst,"Software QA Testers ensure the quality of software products by designing and executing test cases, identifying defects, and reporting issues to developers. They play a critical role in ensuring software reliability and functionality.","['Software quality assurance', 'Test planning', 'Test case design', 'Test execution', 'Defect tracking', 'Test automation', 'Selenium']",Anglo American plc,Information Technology,71.5,2023Q2,3.0,10.0,,
2778.0,2057269353234444.0,46.0,56.0,102.0,Full-Time,2023-01-21,Network Administrator,"Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems.","['System administration', 'Server maintenance', 'Active', 'Directory', 'Backup and recovery', 'Cloud computing', 'AWS', 'Azure', 'Troubleshooting', 'T security best practices', 'Collaboration', 'Problem', 'Attention to detail', 'Communication skills', 'Technical knowledge']",Entergy,Information Technology,79.0,2023Q1,4.0,15.0,,
3138.0,2204799087596040.8,37.0,57.0,94.0,Contract,2021-10-22,Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","['Market research methodologies', 'Data collection and analysis', 'Consumer behavior analysis', 'Competitor analysis', 'Survey design and analysis', 'Statistical analysis software', 'SPSS', 'SAS', 'Data visualization', 'Trend analysis', 'Report writing', 'Communication skills', 'Attention to detail']",William Hill plc,Business,75.5,2021Q4,2.0,12.0,,
3269.0,1336894063334965.0,29.0,63.0,92.0,Intern,2022-09-09,Pediatrician,"Pediatric Specialists are doctors with expertise in specific pediatric subspecialties like cardiology, oncology, or gastroenterology. They provide specialized care and treatment for children with complex or rare medical conditions.","['Pediatric specialization', 'Advanced pediatric care', 'Pediatric subspecialty', 'Pediatric diagnostics', 'Pediatric treatment']",Ambuja Cements,Healthcare,77.5,2022Q3,3.0,14.0,,
3395.0,1129151087462095.0,49.0,60.0,109.0,Part-Time,2023-06-30,Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","['Proficiency in one or more backend programming languages', 'Java', 'Python', 'Node', 'Ruby', 'I development', 'Database management', 'L or', 'No', 'Server management and deployment', 'Security best practices', 'Knowledge of web frameworks', 'Express', 'Django']",Go-Ahead Group,Information Technology,84.5,2023Q2,3.0,15.0,,
3574.0,1351188558449767.0,44.0,64.0,108.0,Intern,2022-05-12,Legal Advisor,"As a Corporate Counsel, you will focus on legal matters related to corporate governance, mergers and acquisitions, and corporate compliance. You will draft and review corporate documents, oversee compliance programs, and handle complex legal negotiations. Your role includes managing legal relationships with external partners and providing strategic legal guidance to the company.","['Corporate law', 'Compliance', 'Mergers and acquisitions', 'Corporate governance', 'Contract drafting', 'Risk management', 'Legal strategy', 'Due diligence']",Dollar Tree,Legal Services,86.0,2022Q2,1.0,14.0,,
3591.0,2101077566506998.0,39.0,58.0,97.0,Full-Time,2021-11-23,Data Entry Clerk,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.","['Office management', 'Administrative tasks', 'Communication and organization']",Clorox Company,Information Technology,77.5,2021Q4,3.0,9.0,,
3717.0,2824760116471388.0,67.0,59.0,126.0,Contract,2022-01-03,Architect,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.","['Architectural project management', 'Construction documents', 'Building systems', 'Design coordination', 'Client communication']",Deutsche Post DHL Group,Engineering,92.5,2022Q1,5.0,11.0,,
3781.0,1305211662873776.0,19.0,61.0,80.0,Contract,2022-01-07,UI Developer,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,"['User experience', 'UX', 'User interface', 'UI', 'Wireframing and prototyping', 'Usability testing', 'Design tools like', 'Sketch or', 'Figma']",Ping An Insurance,Information Technology,70.5,2022Q1,1.0,13.0,,
3863.0,1421290518390531.0,37.0,55.0,92.0,Intern,2023-09-08,HR Coordinator,"Benefits Coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. They assist employees with benefit inquiries and ensure compliance with benefit policies.","['Employee benefits administration', 'Benefits compliance', 'Benefits communication']",New York Life Insurance,Business,73.5,2023Q3,3.0,8.0,,
4012.0,124872000000000.0,53.0,55.0,108.0,Intern,2021-12-25,Software Engineer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","['Proficiency in', 'CSS', 'Java', 'Script', 'Experience with frontend frameworks like', 'React', 'Angular', 'Vue', 'Responsive web design', 'Cross', 'Version control', 'Git', 'Frontend performance optimization']",Analog Devices,Information Technology,81.5,2021Q4,2.0,9.0,,
4237.0,2815015418573786.0,32.0,63.0,95.0,Contract,2022-07-13,UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,"['Interaction design principles', 'User behavior and psychology', 'Wireframing and prototyping tools', 'Animation and micro', 'Collaborative design processes']",Bodycote,Information Technology,79.0,2022Q3,3.0,11.0,,
4304.0,2289660686839257.0,35.0,60.0,95.0,Temporary,2023-10-01,Interior Designer,"A Hospitality Interior Designer specializes in creating inviting and functional interiors for hotels, restaurants, and other hospitality establishments.","['Hospitality interior design', 'Hotel and restaurant design', 'Branding and theme integration', 'Customer experience design']",Hikvision,Information Technology,77.5,2023Q4,0.0,14.0,,
4480.0,766991000000000.0,31.0,56.0,87.0,Full-Time,2022-07-11,Web Developer,"Full-Stack Developers are skilled in both frontend and backend development. They can work on all aspects of web application development, from creating user interfaces to designing databases and server infrastructure, providing end-to-end solutions.","['Frontend and backend development', 'Database integration', 'Problem', 'I knowledge']",Cummins,Information Technology,71.5,2022Q3,2.0,15.0,,
4730.0,1474786903638944.0,44.0,62.0,106.0,Intern,2023-05-18,Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","['Data analysis tools', 'SQL', 'Python', 'Data visualization tools', 'Tableau', 'Power', 'Statistical analysis', 'Data cleansing and transformation', 'Data modeling', 'Communication of data insights', 'Problem', 'Attention to detail', 'Business acumen']",Intertek Group,Business,84.0,2023Q2,5.0,14.0,,
5074.0,411263000000000.0,54.0,58.0,112.0,Temporary,2022-01-28,UX Researcher,Evaluate and improve the usability of websites and applications through user testing and analysis.,"['Usability evaluation', 'User interface assessment', 'Usability testing tools and techniques']",Verizon Communications,Information Technology,85.0,2022Q1,5.0,14.0,,
5345.0,664333000000000.0,29.0,65.0,94.0,Contract,2022-05-16,Event Coordinator,"Plan and coordinate events, including selecting venues, managing budgets, arranging logistics, and ensuring a successful outcome.","['Event planning and coordination', 'Budget management', 'Vendor negotiation', 'Venue selection and management', 'Timeline and logistics planning', 'Marketing and promotion', 'Risk management', 'Client communication', 'Creativity', 'Problem', 'Attention to detail']",Vonovia SE,Business,79.5,2022Q2,2.0,15.0,,
5765.0,2165219500091970.0,59.0,57.0,116.0,Part-Time,2023-11-01,Digital Marketing Specialist,"Email Marketing Specialists design and execute email marketing campaigns. They create email content, segment email lists, and analyze campaign performance to achieve marketing goals and engage subscribers.","['Email marketing platforms', 'Mailchimp', 'Constant', 'Contact', 'Email campaign creation and segmentation', 'B testing and optimization', 'Email deliverability and compliance', 'Metrics tracking and analysis']",American Electric Power,Business,86.5,2023Q4,0.0,13.0,,
5959.0,2535900319898841.0,64.0,61.0,125.0,Part-Time,2021-09-23,Graphic Designer,"UI/UX Designers focus on creating user-friendly and visually appealing interfaces for digital products. They conduct user research, design wireframes and prototypes, and collaborate with development teams to ensure a seamless and enjoyable user experience.","['User interface', 'UI', 'User experience', 'UX', 'Wireframing and prototyping tools', 'Sketch', 'Figma', 'Usability testing', 'Information architecture', 'Interaction design', 'Mobile and responsive design']",Royal Caribbean Group,Information Technology,93.0,2021Q3,4.0,12.0,,
