Job Id,Job URL,Job Salary Range,Job Employment Type,Job Posting Date,Job Title,Job Description,skills,Company,Job Industry,Job Minimum Experience,Work Type,Min Salary (K),Max Salary (K),Average Salary (K),Salary Range (K),Year-Quarter,Broader Category
MCF-2024-1467700,https://www.mycareersfuture.gov.sg/job/healthcare/flexible-scheduling-locum-radiographer-needed-x7-up60h-hjct-recruit-express-f981a8e6db72e0a69626c7e753bb2d0b?source=MCF&event=Search,$40to$60,Contract,2024-10-04,Locum Radiographer Needed X7  Up  H,"responsibilities
Be technically and clinically competent in performing diagnostic radiography and all other imaging modalities, where necessary.
Performs all diagnostic imaging examinations on patients with clinically accepted standards described in the SOP, with due regards to radiation safety, patient care and clinical requirement.
Participates in the maintenance of a round-the-clock radiography service via rotating shifts as rostered and activated.
Participates in department SOP work-flow for emergency and mass casualty situations via roster, and when necessary for operational exigencies.
Ensures good diagnostic quality in the delivery of Radiography Service through good clinical practice and oversight on Quality Control of Imaging Equipment
Requirements
Relevant qualifications in Radiography
Valid R1, AHPC license in Singapore
Relevant experience in medical imaging e.g. General Radiography in varying settings, Ultrasound, CT, Nuclear Imaging, Procedural imaging
Experience in Radiation Safety
TELE me at @yijingggggg or WA me at https://wa.me/+6598623556 NOW!
Interested candidates, please submit your resume to healthcare12@recruitexpress.com.sg

Alison Chen
Outsourcing Team
Recruit Express Pte Ltd (EA Licence No.: 99C4599)","['Ultrasound', 'Casualty', 'Medical Imaging', 'Quality Control', 'Image Processing', 'Mammography', 'Outsourcing', 'Healthcare', 'Radiation Safety', 'MRI', 'Compliance', 'Radiation Protection', 'Radiation', 'Radiology', 'Radiography', 'Angiography']",Recruit Express Pte Ltd,Healthcare / Pharmaceutical,2.0,Contract,0.48,0.72,0.6,0.24,2024Q4,Healthcare
MCF-2024-1461596,https://www.mycareersfuture.gov.sg/job/healthcare/flexible-scheduling-locum-radiographer-needed-x7-up60h-hjct-recruit-express-7d49075061b39dc51a4c614e04078cf7?source=MCF&event=Search,$40to$60,Contract,2024-10-03,Locum Radiographer Needed X7  Up  H,"responsibilities
Be technically and clinically competent in performing diagnostic radiography and all other imaging modalities, where necessary.
Performs all diagnostic imaging examinations on patients with clinically accepted standards described in the SOP, with due regards to radiation safety, patient care and clinical requirement.
Participates in the maintenance of a round-the-clock radiography service via rotating shifts as rostered and activated.
Participates in department SOP work-flow for emergency and mass casualty situations via roster, and when necessary for operational exigencies.
Ensures good diagnostic quality in the delivery of Radiography Service through good clinical practice and oversight on Quality Control of Imaging Equipment
Requirements
Relevant qualifications in Radiography
Valid R1, AHPC license in Singapore
Relevant experience in medical imaging e.g. General Radiography in varying settings, Ultrasound, CT, Nuclear Imaging, Procedural imaging
Experience in Radiation Safety
TELE me at @yijingggggg or WA me at https://wa.me/+6598623556 NOW!
Interested candidates, please submit your resume to healthcare12@recruitexpress.com.sg

Alison Chen
Outsourcing Team
Recruit Express Pte Ltd (EA Licence No.: 99C4599)","['Ultrasound', 'Casualty', 'Medical Imaging', 'Quality Control', 'Image Processing', 'Mammography', 'Outsourcing', 'Healthcare', 'Radiation Safety', 'MRI', 'Compliance', 'Radiation Protection', 'Radiation', 'Radiology', 'Radiography', 'Angiography']",Recruit Express Pte Ltd,Healthcare / Pharmaceutical,2.0,Contract,0.48,0.72,0.6,0.24,2024Q4,Healthcare
MCF-2024-1453823,https://www.mycareersfuture.gov.sg/job/healthcare/flexible-scheduling-locum-radiographer-needed-x7-up60h-hjct-recruit-express-9734859b8947ee9c145492d6eceb5f90?source=MCF&event=Search,$40to$60,Contract,2024-10-02,Locum Radiographer Needed X7  Up  H,"responsibilities
Be technically and clinically competent in performing diagnostic radiography and all other imaging modalities, where necessary.
Performs all diagnostic imaging examinations on patients with clinically accepted standards described in the SOP, with due regards to radiation safety, patient care and clinical requirement.
Participates in the maintenance of a round-the-clock radiography service via rotating shifts as rostered and activated.
Participates in department SOP work-flow for emergency and mass casualty situations via roster, and when necessary for operational exigencies.
Ensures good diagnostic quality in the delivery of Radiography Service through good clinical practice and oversight on Quality Control of Imaging Equipment
Requirements
Relevant qualifications in Radiography
Valid R1, AHPC license in Singapore
Relevant experience in medical imaging e.g. General Radiography in varying settings, Ultrasound, CT, Nuclear Imaging, Procedural imaging
Experience in Radiation Safety
TELE me at @yijingggggg or WA me at https://wa.me/+6598623556 NOW!
Interested candidates, please submit your resume to healthcare12@recruitexpress.com.sg

Alison Chen
Outsourcing Team
Recruit Express Pte Ltd (EA Licence No.: 99C4599)","['Ultrasound', 'Casualty', 'Medical Imaging', 'Quality Control', 'Image Processing', 'Mammography', 'Outsourcing', 'Healthcare', 'Radiation Safety', 'MRI', 'Compliance', 'Radiation Protection', 'Radiation', 'Radiology', 'Radiography', 'Angiography']",Recruit Express Pte Ltd,Healthcare / Pharmaceutical,2.0,Contract,0.48,0.72,0.6,0.24,2024Q4,Healthcare
MCF-2024-1447028,https://www.mycareersfuture.gov.sg/job/healthcare/flexible-scheduling-locum-radiographer-needed-x7-up60h-hjct-recruit-express-39213b697174e0dad11598215138a821?source=MCF&event=Search,$40to$60,Contract,2024-10-01,Locum Radiographer Needed X7  Up  H,"responsibilities
Be technically and clinically competent in performing diagnostic radiography and all other imaging modalities, where necessary.
Performs all diagnostic imaging examinations on patients with clinically accepted standards described in the SOP, with due regards to radiation safety, patient care and clinical requirement.
Participates in the maintenance of a round-the-clock radiography service via rotating shifts as rostered and activated.
Participates in department SOP work-flow for emergency and mass casualty situations via roster, and when necessary for operational exigencies.
Ensures good diagnostic quality in the delivery of Radiography Service through good clinical practice and oversight on Quality Control of Imaging Equipment
Requirements
Relevant qualifications in Radiography
Valid R1, AHPC license in Singapore
Relevant experience in medical imaging e.g. General Radiography in varying settings, Ultrasound, CT, Nuclear Imaging, Procedural imaging
Experience in Radiation Safety
TELE me at @yijingggggg or WA me at https://wa.me/+6598623556 NOW!
Interested candidates, please submit your resume to healthcare12@recruitexpress.com.sg

Alison Chen
Outsourcing Team
Recruit Express Pte Ltd (EA Licence No.: 99C4599)","['Ultrasound', 'Casualty', 'Medical Imaging', 'Quality Control', 'Image Processing', 'Mammography', 'Outsourcing', 'Healthcare', 'Radiation Safety', 'MRI', 'Compliance', 'Radiation Protection', 'Radiation', 'Radiology', 'Radiography', 'Angiography']",Recruit Express Pte Ltd,Healthcare / Pharmaceutical,2.0,Contract,0.48,0.72,0.6,0.24,2024Q4,Healthcare
MCF-2024-1383399,https://www.mycareersfuture.gov.sg/job/healthcare/flexible-scheduling-locum-radiogrpher-needed-x7-up60h-hjct-recruit-express-577c8b8fd691f4ea3f9f856327bc9d19?source=MCF&event=Search,$40to$60,Contract,2024-9-19,Locum Radiogrpher Needed X7  Up  H,"responsibilities
Be technically and clinically competent in performing diagnostic radiography and all other imaging modalities, where necessary.
Performs all diagnostic imaging examinations on patients with clinically accepted standards described in the SOP, with due regards to radiation safety, patient care and clinical requirement.
Participates in the maintenance of a round-the-clock radiography service via rotating shifts as rostered and activated.
Participates in department SOP work-flow for emergency and mass casualty situations via roster, and when necessary for operational exigencies.
Ensures good diagnostic quality in the delivery of Radiography Service through good clinical practice and oversight on Quality Control of Imaging Equipment
Requirements
Relevant qualifications in Radiography
Valid R1, AHPC license in Singapore
Relevant experience in medical imaging e.g. General Radiography in varying settings, Ultrasound, CT, Nuclear Imaging, Procedural imaging
Experience in Radiation Safety
TELE me at @yijingggggg or WA me at https://wa.me/+6598623556 NOW!
Interested candidates, please submit your resume to healthcare12@recruitexpress.com.sg

Alison Chen
Outsourcing Team
Recruit Express Pte Ltd (EA Licence No.: 99C4599)","['Ultrasound', 'Casualty', 'Medical Imaging', 'Quality Control', 'Image Processing', 'Mammography', 'Outsourcing', 'Healthcare', 'Radiation Safety', 'MRI', 'Compliance', 'Radiation Protection', 'Radiation', 'Radiology', 'Radiography', 'Angiography']",Recruit Express Pte Ltd,Healthcare / Pharmaceutical,2.0,Contract,0.48,0.72,0.6,0.24,2024Q3,Healthcare
MCF-2024-1378273,https://www.mycareersfuture.gov.sg/job/healthcare/flexible-scheduling-locum-radiogrpher-needed-x7-up60h-hjct-recruit-express-c578bfa5e8ef445f4600a77f8bed76e7?source=MCF&event=Search,$40to$60,Contract,2024-9-18,Locum Radiogrpher Needed X7  Up  H,"responsibilities
Be technically and clinically competent in performing diagnostic radiography and all other imaging modalities, where necessary.
Performs all diagnostic imaging examinations on patients with clinically accepted standards described in the SOP, with due regards to radiation safety, patient care and clinical requirement.
Participates in the maintenance of a round-the-clock radiography service via rotating shifts as rostered and activated.
Participates in department SOP work-flow for emergency and mass casualty situations via roster, and when necessary for operational exigencies.
Ensures good diagnostic quality in the delivery of Radiography Service through good clinical practice and oversight on Quality Control of Imaging Equipment
Requirements
Relevant qualifications in Radiography
Valid R1, AHPC license in Singapore
Relevant experience in medical imaging e.g. General Radiography in varying settings, Ultrasound, CT, Nuclear Imaging, Procedural imaging
Experience in Radiation Safety
TELE me at @yijingggggg or WA me at https://wa.me/+6598623556 NOW!
Interested candidates, please submit your resume to healthcare12@recruitexpress.com.sg

Alison Chen
Outsourcing Team
Recruit Express Pte Ltd (EA Licence No.: 99C4599)","['Ultrasound', 'Casualty', 'Medical Imaging', 'Quality Control', 'Image Processing', 'Mammography', 'Outsourcing', 'Healthcare', 'Radiation Safety', 'MRI', 'Compliance', 'Radiation Protection', 'Radiation', 'Radiology', 'Radiography', 'Angiography']",Recruit Express Pte Ltd,Healthcare / Pharmaceutical,2.0,Contract,0.48,0.72,0.6,0.24,2024Q3,Healthcare
MCF-2024-1392176,https://www.mycareersfuture.gov.sg/job/healthcare/flexible-scheduling-locum-radiogrpher-needed-x7-up60h-hjct-recruit-express-872213b256e24a56672db18ff3f436a0?source=MCF&event=Search,$40to$60,Contract,2024-9-20,Locum Radiogrpher Needed X7  Up  H,"responsibilities
Be technically and clinically competent in performing diagnostic radiography and all other imaging modalities, where necessary.
Performs all diagnostic imaging examinations on patients with clinically accepted standards described in the SOP, with due regards to radiation safety, patient care and clinical requirement.
Participates in the maintenance of a round-the-clock radiography service via rotating shifts as rostered and activated.
Participates in department SOP work-flow for emergency and mass casualty situations via roster, and when necessary for operational exigencies.
Ensures good diagnostic quality in the delivery of Radiography Service through good clinical practice and oversight on Quality Control of Imaging Equipment
Requirements
Relevant qualifications in Radiography
Valid R1, AHPC license in Singapore
Relevant experience in medical imaging e.g. General Radiography in varying settings, Ultrasound, CT, Nuclear Imaging, Procedural imaging
Experience in Radiation Safety
TELE me at @yijingggggg or WA me at https://wa.me/+6598623556 NOW!
Interested candidates, please submit your resume to healthcare12@recruitexpress.com.sg

Alison Chen
Outsourcing Team
Recruit Express Pte Ltd (EA Licence No.: 99C4599)","['Ultrasound', 'Casualty', 'Medical Imaging', 'Quality Control', 'Image Processing', 'Mammography', 'Outsourcing', 'Healthcare', 'Radiation Safety', 'MRI', 'Compliance', 'Radiation Protection', 'Radiation', 'Radiology', 'Radiography', 'Angiography']",Recruit Express Pte Ltd,Healthcare / Pharmaceutical,2.0,Contract,0.48,0.72,0.6,0.24,2024Q3,Healthcare
MCF-2024-1481467,https://www.mycareersfuture.gov.sg/job/information-technology/senior-end-user-computing-engineer-recruit-express-545d01ae273d6a0b75bd7633ec9f6ea4?source=MCF&event=Search,"$4,000to$8,000","Contract, Full Time",2024-10-07,Senior End User Computing Engineer,"Responsibilities
Solution Architecture: Design and architect end user computing solutions encompassing physical desktops, laptops, tablets (iPads), virtual desktops and think clients. Develop detailed technical specifications and deployment strategies.
Device Management: Implement and manage a variety of EUC devices including windows PCs, iPads, Thin Clients. Ensure efficient provisioning, configuration and lifecycle management.
Virtual Desktop Infrastructure: Lead the implementation and management of thin client and VDI solutions, including VMware Horizon. Optimize performance and ensure high availability.
Operating System Deployment: Oversee the deployment and management of operating systems (Windows 10/11) using tools such as MECM, Altiris, Intune and other device management solutions.
Migration Projects: Lead and manage complex migration projects involving transitions from on-premises to cloud-based solutions, upgrade of operating systems and migration of applications and user data across varies devices.
Automation and Scripting: Utilize scripting languages to automate provisioning, configuration and management tasks. Develop scripts for bulk deployments and device managements.
Performance Optimization: Monitor and analyze the performance of EUC environments. Implement optimization techniques to enhance system efficiency, reliability and user experience across all device.
Security and Compliance: Implement and manage security measures for EUC environments, including endpoints protection, encryption, secure access and compliance with organizational policies and industry regulations.
Technical leadership: Provide expert guidance and technical leadership on EUC technologies. Conduct design reviews, technical discussions, and lead cross-functional teams in implementing solutions.
Troubleshooting and Support: Address and resolve complex technical issues related to EUC devices and environments, perform root cause analysis and implement corrective actions to prevent recurrence.
Documentation: Develop and maintain comprehensive documentation, including architecture diagrams, deployment guides, device management procedures and troubleshooting documentation. Ensure knowledge transfer to relevant teams.
Training and Mentoring: Provide training and mentorship to junior team members and end users on new technologies, device management practices and best practices.
Any other ad-hoc duties as assigned by supervisor.

Requirements
8+ years of experience in end-user computing, including significant experience in designing and implementing EUC solutions across a diverse range of devices and leading migration projects.
Operating systems: Extensive experience with Windows 10/11, iOS
VDI Solutions: Advanced knowledge of VMware Horizon, Microsoft Azure Virtual Desktop, Thin clients
Device Management: Proficiency in managing desktops, laptops, thin clients using Microsoft End Point Manager (Intune), MECM, Altiris and Mobile Device Management Solutions.
Security: Experience with endpoint security solutions, encryption technologies and security best practices.
Interested applicants, please email your resume to Andre Chua Jing Ming
Email: andrechua@recruitexpress.com.sg
CEI Reg No: R1989053
EA Licence No: 99C4599
Recruit Express Pte Ltd","['Microsoft Azure', 'Troubleshooting', 'Laptops', 'Architect', 'High Availability', 'Root Cause Analysis', 'Scripting', 'Reliability', 'Solution Architecture', 'Operating Systems', 'Windows', 'Technical Leadership', 'VDI', 'Encryption', 'System Deployment', 'Virtual Desktop Infrastructure']",Recruit Express Pte Ltd,Information Technology,5.0,Contract,48.0,96.0,72.0,48.0,2024Q4,Information Technology
MCF-2024-1475959,https://www.mycareersfuture.gov.sg/job/accounting/perm-urgent-treasury-finance-manager-nje-recruit-express-2215153f5992e0cd32c7ec92fb03c2aa?source=MCF&event=Search,"$7,000to$7,500",Contract,2024-10-07,Treasury Finance Manager,"To perform a broad range of treasury functions which includes cash management; bank loan management including rollovers, drawdown and compliance.
To manage intercompany loans.
In charge of opening and maintenance of bank accounts, internet banking and application of bank facilities.
To support business stakeholders in FX and trade financing matters.
To identify business and market opportunities and work closely with banks for new funding scheme and evaluate current scheme for improvement..
To prepare weekly cash flow consolidation, consisting of short- and medium-term requirements.
Corporate
To assist in the preparation of directors' and shareholders' resolutions.
To assist in ensuring filing compliance in accordance with relevant regulatory and statutory requirements.
Accounting and Audit
To support audit related matters including preparation of bank and directors’ confirmations.
To assist in the preparation of monthly management accounts and annual financial statements in accordance with applicable financial reporting standards and group guidelines.
To assist in the review of payments and receipts.
Other adhoc duties as assigned
Joy Yeow Zhi Qian
(CEI Registration No:R2096261)
Recruit Express Pte Ltd (EA Licence No: 99C4599)","['Treasury Back Office', 'Treasury', 'Cash Flow Forecasting', 'Treasury Management', 'Cash Flow Management', 'Investments', 'Compliance', 'Budgeting', 'Cash Flow', 'Cash flow analysis']",Recruit Express Pte Ltd,Accounting / Auditing / Taxation,5.0,Contract,84.0,90.0,87.0,6.0,2024Q4,Business
MCF-2024-1477103,https://www.mycareersfuture.gov.sg/job/healthcare/immediate-3-6-months-temp-tssu-tech-hyt-recruit-express-cbf001c48ecb403fbbb707266248057c?source=MCF&event=Search,"$1,500to$2,000","Temporary, Contract",2024-10-07,3   Temp Tssu Tech,"Job Scope:
Will be helping out with cleaning of instruments
packing of sterilized instruments
Will be required to carry heavy loads - max 11-12kg
Any 5 days per week, Mondays - Sundays
$10/hr for AM and $12/hr for PM
AM: 8am - 5pm / 6pm
PM: 11am / 12pm - 9pm

Requirements:
Min GCE N/O/A Levels or Diploma in any fields
Comfortable to work in TSSU environment
Will be required to don full PPE in sterile environment.
All qualified applicants, please click “ APPLY NOW”
Or you may send in your resume to:
Whatsapp: https://wa.me/+6597430026
Email : kimlow@recruitexpress.com.sg
Kimmy Low Yi Ting (Kim) | CEI Registration Number: R23112122
Recruit Express Pte Ltd Company Reg. No. 199601303W | EA LICENCE Number: 99C4599","['private healthcare', 'Healthcare', 'Infection Control', 'packing orders', 'Non-medical healthcare', 'healthcare experience', 'healthcare company', 'healthcare sector', 'Ethical Healthcare', 'packing system']",Recruit Express Pte Ltd,Healthcare / Pharmaceutical,0.0,Temporary,18.0,24.0,21.0,6.0,2024Q4,Healthcare
